Subject,Institution,Course Name,Course Url,Duration,Provider
Mathematics Courses,Santa Fe Institute,Introduction to Dynamical Systems and Chaos,https://classcentral.com/course/complexity-explorer-introduction-to-dynamical-systems-and-chaos-1182,"3-6 hours a week,10 weeks long",Complexity Explorer
Mathematics Courses,Galileo University,Estadística Aplicada a los Negocios,https://classcentral.com/course/edx-estadistica-aplicada-a-los-negocios-10270,"5-6 hours a week,5 weeks long",edX
Computer Science Courses,University of Washington,Machine Learning Foundations: A Case Study Approach,https://classcentral.com/course/ml-foundations-4352,"18 hours worth of material,6 weeks long",Coursera
Computer Science Courses,Tel Aviv University,Unlocking Information Security II: An Internet Perspective,https://classcentral.com/course/edx-unlocking-information-security-part-ii-16965,"4-6 hours a week,7 weeks long",edX
Computer Science Courses,University of Michigan,"Internet History, Technology, and Security",https://classcentral.com/course/insidetheinternet-335,"3-5 hours a week,10 weeks long",Coursera
Computer Science Courses,Linux Foundation,Introduction to Linux,https://classcentral.com/course/edx-introduction-to-linux-1857,"5-7 hours a week,14 weeks long",edX
Computer Science Courses,Rice University,Principles of Computing (Part 1),https://classcentral.com/course/principlescomputing1-1724,"7-10 hours a week,5 weeks long",Coursera
Humanities Courses,Universitat Politècnica de València,Basic Spanish 3: Getting there,https://classcentral.com/course/edx-basic-spanish-3-getting-there-17850,"3-4 hours a week,4 weeks long",edX
Humanities Courses,Universitat Politècnica de València,Basic Spanish 2: One Step Further,https://classcentral.com/course/edx-basic-spanish-2-one-step-further-8672,"4-5 hours a week,4 weeks long",edX
Humanities Courses,Universitat Politècnica de València,Upper-Intermediate English: Business,https://classcentral.com/course/edx-upper-intermediate-english-business-11800,"3-5 hours a week,4 weeks long",edX
Social Sciences Courses,University of Cape Town,What is a Mind?,https://classcentral.com/course/what-is-a-mind-3314,"3 hours a week,6 weeks long",FutureLearn
Mathematics Courses,Universitat Politècnica de València,Bases Matemáticas: Números y terminología,https://classcentral.com/course/edx-bases-matematicas-numeros-y-terminologia-2955,"3-4 hours a week,4 weeks long",edX
Mathematics Courses,Santa Fe Institute,Fractals and Scaling,https://classcentral.com/course/complexity-explorer-fractals-and-scaling-3612,"2-4 hours a week,7 weeks long",Complexity Explorer
Computer Science Courses,Universitat Politècnica de València,Fundamentos TIC para profesionales de negocios: Hardware,https://classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-hardware-8086,"3-6 hours a week,4 weeks long",edX
Computer Science Courses,"University of California, Berkeley",CS188.1x: Artificial Intelligence,https://classcentral.com/course/edx-cs188-1x-artificial-intelligence-445,12 weeks long,edX
Computer Science Courses,"University of Maryland, College Park",Software Security,https://classcentral.com/course/software-security-1728,"3-5 hours a week,6 weeks long",Coursera
Computer Science Courses,Johns Hopkins University,Practical Machine Learning,https://classcentral.com/course/predmachlearn-1719,"4-9 hours a week,4 weeks long",Coursera
Humanities Courses,"Guru Govind Singh Indraprastha University (GGSIPU), New Delhi",Society and Media-2021,https://classcentral.com/course/swayam-society-and-media-2021-14291,15 weeks long,Swayam
